#Filename	Pool	Barcode	run_id	lane_id	Sample.name
SLX-17617.UDP0025.HJJV3DMXX.s_2	SLX-17617	UDP0025	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3843-T1-FF3
SLX-17617.UDP0004.H3N53BBXY.s_8	SLX-17617	UDP0004	H3N53BBXY	s_8	PAR1006-T1-P01-17.3844-T1-FF1
SLX-17617.UDP0004.HJJV3DMXX.s_1	SLX-17617	UDP0004	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3844-T1-FF1
SLX-17617.UDP0004.HJJV3DMXX.s_2	SLX-17617	UDP0004	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3844-T1-FF1
SLX-17617.UDP0005.H3N53BBXY.s_8	SLX-17617	UDP0005	H3N53BBXY	s_8	PAR1006-T1-P01-17.3844-T1-FF2
SLX-17617.UDP0005.HJJV3DMXX.s_1	SLX-17617	UDP0005	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3844-T1-FF2
SLX-17617.UDP0005.HJJV3DMXX.s_2	SLX-17617	UDP0005	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3844-T1-FF2
SLX-17617.UDP0006.H3N53BBXY.s_8	SLX-17617	UDP0006	H3N53BBXY	s_8	PAR1006-T1-P01-17.3844-T1-FF3
SLX-17617.UDP0006.HJJV3DMXX.s_1	SLX-17617	UDP0006	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3844-T1-FF3
SLX-17617.UDP0006.HJJV3DMXX.s_2	SLX-17617	UDP0006	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3844-T1-FF3
SLX-17617.UDP0007.H3N53BBXY.s_8	SLX-17617	UDP0007	H3N53BBXY	s_8	PAR1006-T1-P01-17.3845-T1-FF1
SLX-17617.UDP0007.HJJV3DMXX.s_1	SLX-17617	UDP0007	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3845-T1-FF1
SLX-17617.UDP0007.HJJV3DMXX.s_2	SLX-17617	UDP0007	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3845-T1-FF1
SLX-17617.UDP0008.H3N53BBXY.s_8	SLX-17617	UDP0008	H3N53BBXY	s_8	PAR1006-T1-P01-17.3846-T1-FF1
