"contrast";"estimate";"SE";"df";"lower.CL";"upper.CL";"t.ratio";"p.value";"Model";"pCR";"Drugs"
"AZD1775 - (Olap+AZD1775)";130,748059218256;24,1050786735015;49,6431919236624;59,3032363679462;202,192882068566;5,42408763685083;2,46301816128058e-05;"PAR1022";"Yes";"AZD1775 - (Olap+AZD1775)"
"AZD1775 - Olaparib";-18,7971256331533;18,4970375293571;21,8498453517887;-76,4535003901053;38,8592491237986;-1,01622357652245;0,907490941939475;"PAR1022";"Yes";"AZD1775 - Olaparib"
"CT - CTO";20,9540418322851;18,3230023619613;21,2301598904334;-36,3108236576731;78,2189073222433;1,14359215909866;0,857623534915231;"PAR1022";"Yes";"CT - CTO"
"CT - (Olap+AZD1775)";178,632285805557;23,9717925080644;48,8550067765634;107,537294789313;249,727276821801;7,451770064565;1,99603908956902e-08;"PAR1022";"Yes";"CT - (Olap+AZD1775)"
"CT - Olaparib";29,087100954148;18,3230023619613;21,2301598904334;-28,1777645358108;86,3519664441069;1,58746369069586;0,614971198328168;"PAR1022";"Yes";"CT - Olaparib"
"CTO - (Olap+AZD1775)";157,678243973272;23,9298490173316;48,564996491316;86,6906633288252;228,665824617719;6,58918674576975;4,37004136433217e-07;"PAR1022";"Yes";"CTO - (Olap+AZD1775)"
"CTO - Olaparib";8,13305912186294;18,268093866056;21,0034367539163;-49,0176129384183;65,2837311821442;0,445205678353503;0,997466893694151;"PAR1022";"Yes";"CTO - Olaparib"
"(Olap+AZD1775) - Olaparib";-149,545184851409;23,9298490173316;48,564996491316;-220,532765495856;-78,5576042069622;-6,24931585414931;1,45277810648103e-06;"PAR1022";"Yes";"(Olap+AZD1775) - Olaparib"
"Untreated - AZD1775";12,1570460739709;21,8549071413353;16,26485092422;-58,1204684065935;82,4345605545353;0,556261621033276;0,992583446006965;"PAR1008";"No";"AZD1775"
"Untreated - CT";6,9143210907293;19,2530056338727;16,1342405076106;-55,0576764680129;68,8863186494715;0,359129437876683;0,999054665925322;"PAR1008";"No";"CT"
"Untreated - CTO";-8,69650942276394;19,2590674445839;16,1557987268355;-70,6778307283103;53,2848118827825;-0,451554025021581;0,997183243922737;"PAR1008";"No";"CTO"
"Untreated - (Olap+AZD1775)";14,0090729999799;17,0707734876827;16,5935683109824;-40,7517356711328;68,7698816710926;0,82064664557163;0,959481508029946;"PAR1008";"No";"(Olap+AZD1775)"
"Untreated - Olaparib";-15,2884905398428;16,9903761267523;16,3190203501373;-69,901274716679;39,3242936369934;-0,899832377210895;0,941077936783247;"PAR1008";"No";"Olaparib"
"AZD1775 - CT";-5,24272498324161;22,7078804107255;15,6616673981204;-78,6076084295966;68,1221584631134;-0,230876897729536;0,999889775336915;"PAR1008";"No";"AZD1775 - CT"
"AZD1775 - CTO";-20,8535554967348;22,7130201788514;15,6766018334743;-94,2261684583987;52,519057464929;-0,918132213704988;0,935982908819477;"PAR1008";"No";"AZD1775 - CTO"
"AZD1775 - (Olap+AZD1775)";1,852026926009;20,8897322691711;15,8698942171869;-65,5264290643092;69,2304829163272;0,0886572839778423;0,999999051193705;"PAR1008";"No";"AZD1775 - (Olap+AZD1775)"
"AZD1775 - Olaparib";-27,4455366138137;20,8240843193259;15,6935490897821;-94,7068773132538;39,8158040856264;-1,31797087415473;0,771419159336579;"PAR1008";"No";"AZD1775 - Olaparib"
"CT - CTO";-15,6108305134932;20,2218333844005;15,4195150966617;-81,0741992739588;49,8525382469723;-0,771978990071976;0,968339141471932;"PAR1008";"No";"CT - CTO"
"CT - (Olap+AZD1775)";7,09475190925061;18,1499910209122;15,6073346489223;-51,5703773869826;65,7598812054838;0,390895615379431;0,998571660954593;"PAR1008";"No";"CT - (Olap+AZD1775)"
"CT - Olaparib";-22,2028116305721;18,0743948036978;15,3775934718878;-80,7349439879377;36,3293207267935;-1,22841245152118;0,816828554076024;"PAR1008";"No";"CT - Olaparib"
"CTO - (Olap+AZD1775)";22,7055824227438;18,1564210943757;15,6306352888513;-35,9691835870023;81,38034843249;1,25055385666162;0,806042803087584;"PAR1008";"No";"CTO - (Olap+AZD1775)"
"CTO - Olaparib";-6,59198111707886;18,080851761381;15,4007400945339;-65,1336391831377;51,94967694898;-0,364583549717425;0,998974922911266;"PAR1008";"No";"CTO - Olaparib"
"(Olap+AZD1775) - Olaparib";-29,2975635398227;15,7294891541262;15,6449374631076;-80,123480561735;21,5283534820896;-1,86258836843009;0,457827037096349;"PAR1008";"No";"(Olap+AZD1775) - Olaparib"
"Untreated - AZD1775";80,6506831773865;33,4551745992071;19,3071911082408;-24,8816256370269;186,1829919918;2,41070878103556;0,200994176289069;"PAR1141";"No";"AZD1775"
"Untreated - CT";-4,17276171999962;19,4258907744128;19,4587657081064;-65,4016240526814;57,0561006126822;-0,214804137862025;0,999925710538401;"PAR1141";"No";"CT"
"Untreated - CTO";25,4216881763014;19,3696510145354;19,2607283518439;-35,6938123006953;86,5371886532981;1,31244946835771;0,774923571717427;"PAR1141";"No";"CTO"
"Untreated - (Olap+AZD1775)";40,6038440240411;19,460946799299;19,5612121282437;-20,7028403065148;101,910528354597;2,08642695768038;0,333723535198177;"PAR1141";"No";"(Olap+AZD1775)"
"Untreated - Olaparib";21,4867157038577;20,4263148471403;18,889815953518;-43,0930413432882;86,0664727510037;1,05191346871195;0,893980872109268;"PAR1141";"No";"Olaparib"
"AZD1775 - CT";-84,8234448973861;33,3208299536523;19,0916289308684;-190,053757122225;20,4068673274526;-2,54565822686204;0,159853716595896;"PAR1141";"No";"AZD1775 - CT"
"AZD1775 - CTO";-55,2289950010851;33,2880737929621;19,025509674836;-160,393765213413;49,9357752112433;-1,65912258379942;0,5725296915022;"PAR1141";"No";"AZD1775 - CTO"
"AZD1775 - (Olap+AZD1775)";-40,0468391533454;33,3412796207035;19,1261748469804;-145,322007922276;65,2283296155852;-1,20111884153594;0,830982244846381;"PAR1141";"No";"AZD1775 - (Olap+AZD1775)"
"AZD1775 - Olaparib";-59,1639674735287;33,9138145105398;18,9007222943256;-166,379263249091;48,0513283020332;-1,74453886498499;0,521429671779786;"PAR1141";"No";"AZD1775 - Olaparib"
"CT - CTO";29,594449896301;19,1366763509673;18,6229095928685;-30,9989978496191;90,1878976422211;1,54647804841017;0,640697743692196;"PAR1141";"No";"CT - CTO"
"CT - (Olap+AZD1775)";44,7766057440407;19,2290782842528;18,9221089055798;-16,0070946080117;105,560306096093;2,32858824963594;0,231086455129564;"PAR1141";"No";"CT - (Olap+AZD1775)"
"CT - Olaparib";25,6594774238573;20,2055274509546;18,3248216352606;-38,429165200096;89,7481200478107;1,26992366252953;0,796956165400642;"PAR1141";"No";"CT - Olaparib"
"CTO - (Olap+AZD1775)";15,1821558477397;19,1722612048605;18,7252895498739;-45,4886662478186;75,8529779432981;0,791881337600948;0,965489195197834;"PAR1141";"No";"CTO - (Olap+AZD1775)"
"CTO - Olaparib";-3,93497247244366;20,1514636594159;18,1518477251615;-67,9180497035198;60,0481047586325;-0,195269809625219;0,999953073684884;"PAR1141";"No";"CTO - Olaparib"
"(Olap+AZD1775) - Olaparib";-19,1171283201834;20,2392331257143;18,4154421347539;-83,2785242621381;45,0442676217713;-0,944557938605626;0,929380957738433;"PAR1141";"No";"(Olap+AZD1775) - Olaparib"
