"Model";"Parameter";"Estimate";"Std. Error";"Pr(>|t|)";"CI_low";"CI_high";"pCR";"Drug"
"PAR1022";"GroupOlaparib";0,0335867058696135;0,22648007525331;0,883455185137616;-0,411073260794726;0,492049827630251;"Yes";NA
"PAR1022";"Time:GroupAZD1775";-0,0495234412216797;0,00638953384226718;5,9006186502156e-08;-0,062143625900398;-0,0368454876152757;"Yes";"AZD1775"
"PAR1022";"Time:GroupCT";-0,0365779137137332;0,00633423820477761;6,60291717683705e-06;-0,0483476165173014;-0,0245784837035246;"Yes";"CT"
"PAR1022";"Time:GroupCTO";-0,0357037332628703;0,00628547717307275;9,10058498461609e-06;-0,0480416745077173;-0,0228676184254023;"Yes";"CTO"
"PAR1022";"Time:GroupOlap+AZD1775";-0,10869234129352;0,0100644391444894;3,30164564225682e-18;-0,129645503490914;-0,0882634161800859;"Yes";"Olap+AZD1775"
"PAR1022";"Time:GroupOlaparib";-0,0636691616563164;0,00628547717307275;6,66092832865159e-10;-0,0754540333036266;-0,0512939805612277;"Yes";"Olaparib"
"PAR1008";"(Intercept)";2,64111772446821;0,198587422807885;8,23054764586694e-09;2,20748800636594;3,04570485011556;"No";NA
"PAR1008";"Time";0,0184530382000539;0,00312509572198505;6,26909407013769e-05;0,0122910409508756;0,024440126113921;"No";NA
"PAR1008";"GroupAZD1775";0,412344852608607;0,326310657720385;0,229090930333197;-0,185551250976041;1,13922749086929;"No";NA
"PAR1008";"GroupCT";-0,34742798851534;0,284708194417752;0,246015289483228;-0,92098683885292;0,239402378035404;"No";NA
"PAR1008";"GroupCTO";0,0339248517961701;0,285323084754515;0,907323209971069;-0,556326123988955;0,605134298284884;"No";NA
"PAR1008";"GroupOlap+AZD1775";-0,209977127070151;0,25839176836016;0,43124493958323;-0,752221791949693;0,281128791481582;"No";NA
"PAR1008";"GroupOlaparib";0,234633146878675;0,253230051397419;0,37244735724848;-0,287360277385249;0,780393052485917;"No";NA
"PAR1008";"Time:GroupAZD1775";-0,0148111389862722;0,00523216933499768;0,0151731523413207;-0,0258517359247112;-0,00446961827959149;"No";"AZD1775"
"PAR1008";"Time:GroupCT";0,00669172207117409;0,00455683171334543;0,169152781586611;-0,00286782286910482;0,0164118619249601;"No";"CT"
"PAR1008";"Time:GroupCTO";0,00205237775041121;0,00456805738877363;0,661602945006076;-0,00650406763252757;0,0108881811015255;"No";"CTO"
"PAR1008";"Time:GroupOlap+AZD1775";0,000728333119114245;0,00411508234459769;0,862396018664982;-0,00735501099899469;0,00980367524861356;"No";"Olap+AZD1775"
"PAR1008";"Time:GroupOlaparib";-0,000937184481397747;0,0040364859463493;0,820479360199154;-0,0086333671439721;0,00665132094765986;"No";"Olaparib"
"PAR1141";"(Intercept)";2,21994926236487;0,254598734790045;4,37253712257963e-07;1,70643273323498;2,74334602532278;"No";NA
"PAR1141";"Time";0,0429417394454666;0,00334131415015504;4,36970957866375e-10;0,0363412495554645;0,0499730625442463;"No";NA
"PAR1141";"GroupAZD1775";-0,083575601513088;0,605920641283718;0,892204500277404;-1,43777544001836;1,06684384058082;"No";NA
"PAR1141";"GroupCT";0,173805357942552;0,351056473636933;0,628397504638115;-0,536365860554995;0,855029841784044;"No";NA
"PAR1141";"GroupCTO";-0,0754271138130207;0,348085345336972;0,831741609586483;-0,771435341433301;0,597692260374447;"No";NA
"PAR1141";"GroupOlap+AZD1775";0,292086206097543;0,352608243376768;0,421562902856855;-0,466855066399125;0,915919750595464;"No";NA
"PAR1141";"GroupOlaparib";0,137387897208953;0,362937853169081;0,711334232905106;-0,637690711511876;0,962992927765545;"No";NA
"PAR1141";"Time:GroupAZD1775";-0,0250346134757056;0,00796662418665396;0,00546447784612861;-0,038924276928321;-0,00886321594925291;"No";"AZD1775"
"PAR1141";"Time:GroupCT";-0,0031067894641276;0,00458565749285985;0,507571968195155;-0,0127851062377758;0,00637737418805979;"No";"CT"
"PAR1141";"Time:GroupCTO";-0,00661616196074463;0,00453121862498212;0,16391346874074;-0,0146141197712918;0,00237701014545026;"No";"CTO"
"PAR1141";"Time:GroupOlap+AZD1775";-0,0212832815709877;0,00461178874372611;0,000265761064568034;-0,0299749879396127;-0,012204769269646;"No";"Olap+AZD1775"
"PAR1141";"Time:GroupOlaparib";-0,0108164390544088;0,00468964118399727;0,0361017526937791;-0,0203178390411495;-0,00141285958902634;"No";"Olaparib"
