"Model";"Parameter";"Estimate";"Std. Error";"Pr(>|t|)";"CI_low";"CI_high";"pCR";"Drug"
"PAR1053";"GroupCT";2,49351530056562;0,579469769233601;0,00048207725482829;1,34878338522588;3,68625795553031;"Yes";NA
"PAR1053";"GroupCTO";1,87002136719919;0,579495912900906;0,00495219103274068;0,715968699537229;2,89862503125558;"Yes";NA
"PAR1053";"GroupOlap+AZD1775";0,7216886546656;0,711105855599897;0,324285170527257;-0,631450846594733;2,09986608357832;"Yes";NA
"PAR1053";"GroupOlaparib";2,70509586947968;0,549776470477392;0,000129495620005641;1,57251326710871;3,74390392079903;"Yes";NA
"PAR1053";"Time:GroupAZD1775";0,00243596082892037;0,00281875194714098;0,400684571521375;-0,00334866197779484;0,00828891232359111;"Yes";"AZD1775"
"PAR1053";"Time:GroupCT";0,00194575719749383;0,0028613144447189;0,505981353557234;-0,00389894927075647;0,00765454548708628;"Yes";"CT"
"PAR1053";"Time:GroupCTO";0,00179535943344504;0,00283505827537713;0,535612790705638;-0,0038500384052178;0,0078450043722667;"Yes";"CTO"
"PAR1053";"Time:GroupOlap+AZD1775";0,00241325029495998;0,00347150818861702;0,497055299643811;-0,00499563977416198;0,00937869796441098;"Yes";"Olap+AZD1775"
"PAR1053";"Time:GroupOlaparib";0,0014115117649641;0,00269996579008138;0,608266663644277;-0,0039680683558544;0,00690174670300901;"Yes";"Olaparib"
"PAR1040";"(Intercept)";3,34882629719126;0,368164576240034;0,0000000947404866848644;2,61396200095245;4,08163638821093;"No";NA
"PAR1040";"Time";0,0505229386510923;0,00375291879966776;0,000000000105888162073915;0,0433360270555928;0,0579453641647355;"No";NA
"PAR1040";"GroupAZD1775";-0,279079936138472;0,54981958099302;0,618744190712421;-1,30435567195642;0,858716927014746;"No";NA
"PAR1040";"GroupCT";2,4820807642851;0,597400668981264;0,000771605537515766;1,37370506152288;3,57592049470897;"No";NA
